"","lxL1961","lxL1965","lxL1970","lxL1975","lxL1980"
"93",45918.5358699914,48973.2168690539,52502.4153876603,56016.5756805109,59243.8786752265
"94",40916.7408368907,43887.5195236428,47366.2536861527,50854.2727444224,54100.6250740224
"95",35751.6280069372,38585.2862117836,41949.2315772573,45348.8231266281,48556.3930015543
"96",26012.4156445065,28874.619428094,32387.1933231061,35986.3274738332,39476.69994679
"97",18483.4097634097,21153.6375459681,24543.3534487595,28092.4192197514,31633.477567907
"98",12818.8961240075,15164.4914531435,18249.5541297844,21567.6182100787,24978.8430302376
"99",8672.10405343199,10632.5029995182,13309.7202597235,16279.9838813249,19432.1939980516
"100",5719.11045167624,7287.68221931849,9517.39649447347,12078.6268281642,14890.0949567036
"101",3674.2870396355,4880.46065783277,6670.02625563786,8805.65336539706,11235.6491263992
"102",2298.01656854491,3191.61158357374,4579.49479069745,6305.94184488865,8346.79497826936
"103",1398.12740564912,2036.97527078085,3078.93988969192,4434.46946162539,6103.15924193068
"104",826.825042409515,1268.0142220303,2026.20519466257,3061.19123097575,4391.28952234592
"105",474.89068989208,769.392176070394,1304.54970876136,2073.69352650267,3108.25941701344
"106",264.670204968515,454.741653950822,821.334645106444,1377.9910563204,2163.77374773692
"107",143.002070800264,261.617833467055,505.404991841226,897.908652313103,1480.99439716684
"108",74.8297014983252,146.396547167158,303.798718085822,573.497471823917,996.357792303651
"109",37.8826283131648,79.6181217063086,178.285224176652,358.894796822333,658.667880815121
"110",18.5331443233719,42.0481796180068,102.087308730896,219.96543451794,427.73141911267
"111",8.75134313432883,21.5452351380955,57.0014928619241,131.977776079494,272.764994487824
"112",3.98338184175833,10.700759445784,31.0152978926248,77.4828070982917,170.754846165866
