"","PERF61","PERF65","PERF70","PERF75","PERF80"
"112",5468.6063,6019.9319,6739.4763,7490.9007,8272.2717
"113",2676.5739,2946.4166,3298.593,3666.3728,4048.8097
"114",1181.6667,1300.7981,1456.2786,1618.6478,1787.4879
"115",458.7234,504.9703,565.3279,628.3597,693.9035
"116",151.1087,166.3429,186.2254,206.9887,228.5796
"117",40.1418,44.1888,49.4705,54.9863,60.7219
"118",7.992,8.7977,9.8493,10.9474,12.0893
"119",1.0823,1.1914,1.3338,1.4826,1.6372
"120",0.0704,0.0774,0.0867,0.0964,0.1064
"121",0,0,0,0,0
